realtime_start,value,date,realtime_end
12/6/2019,221109,11/1/1977,12/6/2019
12/6/2019,221303,12/1/1977,12/6/2019
12/6/2019,221477,1/1/1978,12/6/2019
12/6/2019,221629,2/1/1978,12/6/2019
12/6/2019,221792,3/1/1978,12/6/2019
12/6/2019,221991,4/1/1978,12/6/2019
12/6/2019,222176,5/1/1978,12/6/2019
12/6/2019,222379,6/1/1978,12/6/2019
12/6/2019,222585,7/1/1978,12/6/2019
12/6/2019,222805,8/1/1978,12/6/2019
12/6/2019,223053,9/1/1978,12/6/2019
12/6/2019,223271,10/1/1978,12/6/2019
12/6/2019,223477,11/1/1978,12/6/2019
12/6/2019,223670,12/1/1978,12/6/2019
12/6/2019,223865,1/1/1979,12/6/2019
12/6/2019,224053,2/1/1979,12/6/2019
12/6/2019,224235,3/1/1979,12/6/2019
12/6/2019,224438,4/1/1979,12/6/2019
12/6/2019,224632,5/1/1979,12/6/2019
12/6/2019,224843,6/1/1979,12/6/2019
12/6/2019,225055,7/1/1979,12/6/2019
12/6/2019,225295,8/1/1979,12/6/2019
12/6/2019,225547,9/1/1979,12/6/2019
12/6/2019,225801,10/1/1979,12/6/2019
12/6/2019,226027,11/1/1979,12/6/2019
12/6/2019,226243,12/1/1979,12/6/2019
12/6/2019,226451,1/1/1980,12/6/2019
12/6/2019,226656,2/1/1980,12/6/2019
12/6/2019,226849,3/1/1980,12/6/2019
12/6/2019,227061,4/1/1980,12/6/2019
12/6/2019,227251,5/1/1980,12/6/2019
12/6/2019,227522,6/1/1980,12/6/2019
12/6/2019,227726,7/1/1980,12/6/2019
12/6/2019,227953,8/1/1980,12/6/2019
12/6/2019,228186,9/1/1980,12/6/2019
12/6/2019,228417,10/1/1980,12/6/2019
12/6/2019,228612,11/1/1980,12/6/2019
12/6/2019,228779,12/1/1980,12/6/2019
12/6/2019,228937,1/1/1981,12/6/2019
12/6/2019,229071,2/1/1981,12/6/2019
12/6/2019,229224,3/1/1981,12/6/2019
12/6/2019,229403,4/1/1981,12/6/2019
12/6/2019,229575,5/1/1981,12/6/2019
12/6/2019,229761,6/1/1981,12/6/2019
12/6/2019,229966,7/1/1981,12/6/2019
12/6/2019,230187,8/1/1981,12/6/2019
12/6/2019,230412,9/1/1981,12/6/2019
12/6/2019,230641,10/1/1981,12/6/2019
12/6/2019,230822,11/1/1981,12/6/2019
12/6/2019,230989,12/1/1981,12/6/2019
12/6/2019,231157,1/1/1982,12/6/2019
12/6/2019,231313,2/1/1982,12/6/2019
12/6/2019,231470,3/1/1982,12/6/2019
12/6/2019,231645,4/1/1982,12/6/2019
12/6/2019,231809,5/1/1982,12/6/2019
12/6/2019,231992,6/1/1982,12/6/2019
12/6/2019,232188,7/1/1982,12/6/2019
12/6/2019,232392,8/1/1982,12/6/2019
12/6/2019,232599,9/1/1982,12/6/2019
12/6/2019,232816,10/1/1982,12/6/2019
12/6/2019,232993,11/1/1982,12/6/2019
12/6/2019,233160,12/1/1982,12/6/2019
12/6/2019,233322,1/1/1983,12/6/2019
12/6/2019,233473,2/1/1983,12/6/2019
12/6/2019,233613,3/1/1983,12/6/2019
12/6/2019,233781,4/1/1983,12/6/2019
12/6/2019,233922,5/1/1983,12/6/2019
12/6/2019,234118,6/1/1983,12/6/2019
12/6/2019,234307,7/1/1983,12/6/2019
12/6/2019,234501,8/1/1983,12/6/2019
12/6/2019,234701,9/1/1983,12/6/2019
12/6/2019,234907,10/1/1983,12/6/2019
12/6/2019,235078,11/1/1983,12/6/2019
12/6/2019,235235,12/1/1983,12/6/2019
12/6/2019,235385,1/1/1984,12/6/2019
12/6/2019,235527,2/1/1984,12/6/2019
12/6/2019,235675,3/1/1984,12/6/2019
12/6/2019,235839,4/1/1984,12/6/2019
12/6/2019,235993,5/1/1984,12/6/2019
12/6/2019,236160,6/1/1984,12/6/2019
12/6/2019,236348,7/1/1984,12/6/2019
12/6/2019,236549,8/1/1984,12/6/2019
12/6/2019,236760,9/1/1984,12/6/2019
12/6/2019,236976,10/1/1984,12/6/2019
12/6/2019,237159,11/1/1984,12/6/2019
12/6/2019,237316,12/1/1984,12/6/2019
12/6/2019,237468,1/1/1985,12/6/2019
12/6/2019,237602,2/1/1985,12/6/2019
12/6/2019,237732,3/1/1985,12/6/2019
12/6/2019,237900,4/1/1985,12/6/2019
12/6/2019,238074,5/1/1985,12/6/2019
12/6/2019,238270,6/1/1985,12/6/2019
12/6/2019,238466,7/1/1985,12/6/2019
12/6/2019,238679,8/1/1985,12/6/2019
12/6/2019,238898,9/1/1985,12/6/2019
12/6/2019,239113,10/1/1985,12/6/2019
12/6/2019,239307,11/1/1985,12/6/2019
12/6/2019,239477,12/1/1985,12/6/2019
